,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
1,00601,7306,5397,1909,3553,1844,3.09,3.29,5397,775,540,3013
2,00602,17311,12858,4453,9782,3076,3.05,2.60,12858,1600,1876,7906
3,00603,24771,19295,5476,11254,8041,2.56,2.40,19295,3397,3487,7767
4,00606,2786,1968,818,1440,528,2.93,2.86,1968,265,193,1247
5,00610,12494,8934,3560,6452,2482,3.05,2.57,8934,973,1902,4550
6,00611,694,514,180,310,204,2.33,2.75,514,50,107,203
7,00612,30280,23319,6961,14466,8853,2.82,2.56,23319,3410,5687,8779
8,00616,4568,3342,1226,2366,976,3.17,2.73,3342,340,709,1657
9,00617,9878,7820,2058,5707,2113,2.83,3.13,7820,715,2069,3638
10,00622,8395,2789,5606,2052,737,2.97,2.16,2789,221,414,1638
11,00623,20507,13933,6574,10137,3796,2.89,2.72,13933,1804,4171,5966
12,00624,9098,7194,1904,5033,2161,3.08,2.95,7194,899,1520,3513
13,00627,14071,11367,2704,8659,2708,2.89,2.86,11367,1221,2357,6302
14,00631,585,396,189,248,148,2.89,2.58,396,129,28,220
15,00636,325,296,29,202,94,3.62,4.70,296,0,104,98
16,00637,10989,7005,3984,5550,1455,3.22,3.42,7005,793,1549,4001
17,00638,7930,6032,1898,4487,1545,3.03,2.65,6032,814,1106,3381
18,00641,11433,8724,2709,5299,3425,2.98,2.63,8724,1610,1501,3798
19,00646,15833,11863,3970,9393,2470,3.11,2.77,11863,1253,3498,5895
20,00647,3542,1927,1615,1431,496,2.51,3.21,1927,174,111,1320
21,00650,6037,5157,880,3611,1546,2.70,2.93,5157,680,1450,2161
22,00652,1564,1250,314,952,298,2.52,2.38,1250,74,364,588
23,00653,5894,3591,2303,2447,1144,2.47,2.60,3591,437,331,2116
24,00656,8409,6513,1896,4712,1801,2.85,2.86,6513,978,886,3826
25,00659,16522,13214,3308,9540,3674,2.91,2.63,13214,1207,3114,6426
26,00660,7564,6220,1344,4440,1780,2.56,2.32,6220,992,1765,2675
27,00662,18950,13974,4976,8353,5621,2.91,2.82,13974,1771,2736,5617
28,00664,6317,5120,1197,3104,2016,3.03,2.83,5120,815,763,2341
29,00667,12122,7849,4273,5367,2482,2.94,3.15,7849,1233,1391,3976
30,00669,12173,9745,2428,6441,3304,2.82,2.83,9745,1277,1374,5067
31,00670,3979,2639,1340,2016,623,3.37,2.95,2639,380,390,1626
32,00674,18488,14437,4051,10708,3729,2.67,2.88,14437,2681,4051,6657
33,00676,15875,13032,2843,8126,4906,2.91,2.66,13032,1345,2103,6023
34,00677,9417,5763,3654,3854,1909,2.85,2.20,5763,712,798,3056
35,00678,11363,8985,2378,6081,2904,3.04,2.49,8985,1300,1683,4398
36,00680,25133,17636,7497,9967,7669,2.51,2.25,17636,3856,2324,7643
37,00682,16048,11916,4132,6124,5792,2.57,2.72,11916,2443,1693,4431
38,00683,14807,10721,4086,7343,3378,2.69,2.76,10721,1882,1632,5711
39,00685,18668,14152,4516,9817,4335,2.83,2.81,14152,1618,2705,7112
40,00687,11935,9654,2281,6780,2874,3.07,2.84,9654,1281,2396,4384
